Fibre,X positions,Y Positions,Y wrt Shock,Length along porbing line,n_e,n_e corrected,T_e,T_i,Z,V_f_par,V_f_per,B
1,-2.451,-0.9965,-1.2665,2.7588807966275,2.22E17,3.45333333333333E17,17,48,3.9,25000,-13000,5.6
2,-2.032,-0.833,-1.103,2.31206249915525,2E17,3.11111111111111E17,20,45,4,32000,-14000,6
3,-1.613,-0.6695,-0.9395,1.86666259672175,1.99E17,3.09555555555556E17,20,98,4,28000,0,5.7
4,-1.194,-0.506,-0.776,1.42401264039334,1.82E17,2.83111111111111E17,40,160,4,23000,0,5.1
5,-0.775,-0.3425,-0.6125,0.987816405006518,1.44E17,2.24E17,40,320,4,21000,0,3.3
6,-0.356,-0.179,-0.449,0.57300698076027,1.64E17,2.55111111111111E17,40,520,4,27000,0,2.9
7,0.0629999999999997,-0.0154999999999998,-0.2855,0.292368346439897,2.5E17,3.88888888888889E17,80,570,5.2,11000,0,1.7
8,0.482,0.148,-0.122,0.49720016090102,3.04E17,4.72888888888889E17,80,630,5.2,6200,0,1
9,0.901,0.3115,0.0415000000000001,0.901955237248501,3.47E17,5.39777777777778E17,80,630,5.2,-16000,0,-0.84
10,1.32,0.475,0.205,1.33582371591464,2.83E17,4.40222222222222E17,40,260,4,-20000,0,-1.63
11,1.739,0.6385,0.3685,1.7776144829518,1.88E17,2.92444444444444E17,40,130,4,-32000,0,-2.04
12,2.158,0.802,0.532,2.22260837756002,1.82E17,2.83111111111111E17,22,60,4,-20000,0,-2.8
13,2.577,0.9655,0.6955,2.66920386070454,2.07E17,3.22E17,17,33,4,-34000,0,-6.3
14,2.996,1.129,0.859,3.11671253085683,2.1E17,3.26666666666667E17,20,37,4,-41000,0,-5.9
